#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000385	F	F	                  ok	4	923	-4.940000	1.100000	-4.940000, 1.100000
000000386	F	F	                  ok	4	1594	-4.940000	1.150000	-4.940000, 1.150000
000000387	F	F	                  ok	8	265	-4.940000	1.200000	-4.940000, 1.200000
000000388	F	F	                  ok	5	1478	-4.940000	1.250000	-4.940000, 1.250000
000000389	F	F	                  ok	4	647	-4.940000	1.300000	-4.940000, 1.300000
000000390	F	F	                  ok	5	1290	-4.940000	1.350000	-4.940000, 1.350000
000000391	F	F	                  ok	7	1922	-4.940000	1.400000	-4.940000, 1.400000
000000392	F	F	                  ok	6	1053	-4.940000	1.450000	-4.940000, 1.450000
000000393	F	F	                  ok	5	601	-4.940000	1.500000	-4.940000, 1.500000
000000394	F	F	                  ok	11	1468	-4.940000	1.550000	-4.940000, 1.550000


000000396	F	F	                  ok	0	2027	-4.940000	1.650000	-4.940000, 1.650000
