# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in F10_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	 
100021385	VVDS-J100737.33+010215.4	151.905581	1.0376228	1.1211	1	22.3321	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3321	0.0353
100021402	VVDS-J100737.65+010215.7	151.906912	1.0376972	0.4354	21	23.1167	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	23.1167	0.0701
100021485	VVDS-J100446.85+010210.3	151.19525	1.0362085	0.6188	4	20.625	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.625	0.0121
100021512	VVDS-J100447.89+010214.8	151.199563	1.0374553	0.4297	2	21.7214	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.7214	0.0215
100021676	VVDS-J100529.27+010211.4	151.371988	1.036525	0.6606	4	21.5559	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.5559	0.0181
100021704	VVDS-J100549.04+010202.8	151.454368	1.034124	0.1754	4	18.7456	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	18.7456	0.0048
100021715	VVDS-J100256.68+010218.0	150.736195	1.038353	0.8185	1	21.5492	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.5492	0.0371
100021773	VVDS-J100532.49+010217.6	151.385391	1.0382366	0.9441	2	22.0264	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.0264	0.026
100021797	VVDS-J100434.29+010218.4	151.142892	1.0384686	0.4316	4	22.3838	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3838	0.0438
100021829	VVDS-J100414.11+010219.2	151.058792	1.038688	0.5681	2	21.6607	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.6607	0.0242
100021879	VVDS-J100613.62+010159.7	151.556782	1.0332654	0.1318	1	18.6815	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	18.6815	0.0035
100021894	VVDS-J100546.46+010216.4	151.44362	1.0379152	0.4577	1	22.1123	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.1123	0.031
100021898	VVDS-J100738.74+010220.9	151.91142	1.0391626	0.8085	1	21.9908	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.9908	0.0584
100021910	VVDS-J100605.30+010220.3	151.522109	1.0389775	0.6756	3	21.7953	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.7953	0.0224
100021915	VVDS-J100403.59+010200.2	151.015	1.0333975	0.3156	3	19.3946	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	19.3946	0.006
100021995	VVDS-J100603.84+010214.7	151.516036	1.0374226	0.1264	2	21.5658	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.5658	0.0185
100022016	VVDS-J100539.32+010223.2	151.413846	1.0397786	0.7424	4	22.4394	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4394	0.0378
100022103	VVDS-J100543.17+010222.3	151.42989	1.0395465	0.2118	2	21.9714	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.9714	0.0325
100022127	VVDS-J100408.72+010213.5	151.036372	1.0371053	0.4869	2	20.683	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.683	0.0128
100022129	VVDS-J100534.82+010221.9	151.395088	1.0394382	0.6949	4	21.7796	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.7796	0.0201
100022134	VVDS-J100744.61+010219.9	151.935897	1.0388808	0.6866	2	21.4319	-99.9	-99.9	27.5293	1	99.99	99.99	99.99	99.99	21.4319	0.021
