#depth	Te	cC/dT	dt/dr	d^2T/dr^2
4.32901e+25	2.6174e+04	1.17e-37	5.38e-23	0.00e+00
4.63887e+22	2.7518e+04	1.32e-37
2.78332e+23	2.7346e+04	1.32e-37	-4.62e-22
1.20611e+24	2.7023e+04	1.32e-37	-2.18e-22	1.65e-46
3.72623e+24	2.6730e+04	1.31e-37	-8.25e-23	3.80e-47
7.10289e+24	2.6514e+04	1.31e-37	-6.76e-23	4.65e-48
1.01588e+25	2.6378e+04	1.30e-37	-4.66e-23	7.21e-48
1.29402e+25	2.6283e+04	1.30e-37	-3.61e-23	3.96e-48
1.54667e+25	2.6209e+04	1.29e-37	-3.05e-23	2.32e-48
1.77585e+25	2.6150e+04	1.29e-37	-2.70e-23	1.59e-48
1.98353e+25	2.6111e+04	1.29e-37	-1.97e-23	3.72e-48
2.17157e+25	2.6059e+04	1.29e-37	-2.95e-23	-5.48e-48
2.34166e+25	2.6027e+04	1.29e-37	-1.93e-23	6.33e-48
2.49543e+25	2.5992e+04	1.29e-37	-2.45e-23	-3.59e-48
2.63437e+25	2.5969e+04	1.29e-37	-1.70e-23	5.69e-48
2.75986e+25	2.5940e+04	1.29e-37	-2.43e-23	-6.10e-48
2.87315e+25	2.5926e+04	1.29e-37	-1.32e-23	1.03e-47
2.97539e+25	2.5901e+04	1.29e-37	-2.64e-23	-1.36e-47
3.06764e+25	2.5889e+04	1.29e-37	-1.32e-23	1.51e-47
3.15083e+25	2.5872e+04	1.29e-37	-2.11e-23	-1.00e-47
3.22585e+25	2.5865e+04	1.29e-37	-1.04e-23	1.51e-47
3.29349e+25	2.5848e+04	1.29e-37	-2.68e-23	-2.57e-47
3.35446e+25	2.5842e+04	1.29e-37	-9.66e-24	2.97e-47
3.40940e+25	2.5828e+04	1.29e-37	-2.74e-23	-3.40e-47
3.45891e+25	2.5830e+04	1.29e-37	3.67e-24	6.61e-47
3.50353e+25	2.5808e+04	1.29e-37	-5.23e-23	-1.32e-46
3.54489e+25	2.5807e+04	1.29e-37	-5.22e-25	1.28e-46
3.58536e+25	2.5802e+04	1.29e-37	-1.34e-23	-3.17e-47
3.62585e+25	2.5796e+04	1.29e-37	-1.57e-23	-5.76e-48
3.66637e+25	2.5783e+04	1.29e-37	-3.17e-23	-3.95e-47
3.70692e+25	2.5783e+04	1.29e-37	1.94e-24	8.30e-47
3.74749e+25	2.5762e+04	1.29e-37	-5.20e-23	-1.33e-46
3.78808e+25	2.5761e+04	1.29e-37	-4.08e-24	1.18e-46
3.82869e+25	2.5751e+04	1.29e-37	-2.41e-23	-4.92e-47
3.86933e+25	2.5750e+04	1.29e-37	-3.06e-24	5.17e-47
3.89822e+25	2.5755e+04	1.29e-37	2.81e-23	1.82e-46
3.89822e+25	2.5755e+04	1.29e-37	2.81e-23	0.00e+00
4.18363e+22	2.7076e+04	1.46e-37
2.51018e+23	2.6913e+04	1.45e-37	-4.87e-22
1.08775e+24	2.6604e+04	1.45e-37	-2.30e-22	1.92e-46
3.35912e+24	2.6318e+04	1.45e-37	-8.93e-23	4.40e-47
6.40180e+24	2.6102e+04	1.44e-37	-7.51e-23	4.94e-48
9.15520e+24	2.5966e+04	1.43e-37	-5.18e-23	8.88e-48
